Site/Division,Jira Ticket #,State,Name,Notes,Merge,Legacy URL,New URL,Page Title
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1904b9d0-73ab-4255-9e43-57f4b3d353a2,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/268e9d4c-ff60-4c6f-a257-9a569f61e188,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/0914dec3-0bf4-453f-b025-f80a9127e9cf,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/857fa396-a494-442f-98d4-a6cef8cb0810,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/0c98f6e0-b36b-41b9-bc13-57ec33d39eeb,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/57469faa-202d-4324-981a-af2cd24a5dc0,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1fd3c521-f53a-4933-8388-5c5c70b8528a,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/e1e9cf09-67d1-4732-a6a3-de15d6ab232c,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/3cc3f876-7fa8-49e9-815b-f6581943659f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/705dd9cc-5c46-413f-9c16-7859d6e496dc,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/67788af4-4efe-4b73-8614-eaca6a33aa53,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/dc858507-c6d6-4acc-98fd-a1aa31ecb197,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/9c0fae09-da56-4a81-93cb-18a3a454f632,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/7df3cf10-56cd-453b-b9b1-c9eded6a815f,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/d071ea63-ccb2-459e-aa71-eb234c6de14b,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/d94ab9f6-f77c-4068-b099-3c46525ce45c,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/79cb3652-8256-4aef-ad81-050c46ac6d11,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/b3500d90-4062-4317-bd57-0690aff0c629,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/389dc68e-0505-4e20-aced-75f9a7a6127a,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/87f60608-90a6-426d-855d-95962cb5b79e,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/e9459e9c-970f-46a2-965a-ade2ff6b2a97,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1cdda266-3ffa-43f9-8a0a-339a62d56982,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/ac6f0104-a804-462b-b844-78cafc7b5702,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/631c0f2c-dea7-4c46-8a3a-e360a7a7d9e6,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/7d6ab17a-688a-4cbd-b579-487b4c6917a5,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/a58c24f0-62a3-47a3-8552-e3b3babe1626,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/658f3b97-e63b-41e1-9973-3a5584ae7db8,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/61b13101-1166-427f-b57e-8c250cc586c8,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/e596a663-2f27-4d8f-8e74-a0f69984bd40,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/c8082f31-a285-4bcb-be7f-52b1a5d4c945,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/8f82ef6b-b501-4be0-972a-dbe656699bf2,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/db958210-ca75-4951-951b-0a3dc7065c92,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/c92d65a7-24cd-41ac-9a3f-06f0ba2ab2c7,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/a7ec05a4-aafe-46fa-8f8b-7f53a37b37f7,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/3fe96cca-98cb-413e-997b-2ef04a84fe4b,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1fd6d742-b82d-4103-925b-2b58aab28619,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1a98440d-b4b5-4690-aba3-1dad923b0d47,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/1b803b6c-bd8e-4e29-b98d-883358f566ed,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/4fd123e0-5ae2-4f82-9cfa-3a62035571b5,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/79b666c8-d0cf-4c26-9187-e568ffff9c3a,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/46ab935c-8bb1-480c-b96a-6b5cc8e3da03,,DCI News
DCI,,,,,,https://dci.mo.gov/news/newsitem/uuid/82633725-4e23-487b-9306-c31ef5eb2fef,,DCI News
